Seating Interest (Sidewalk/Roadway/Both),CAMIS,Approved for Sidewalk Seating,Approved for Roadway Seating,Time of Submission,,,Score,Grade,BOROUGH,Violation Code,Violation Description,Cuisin
both,50012117,yes,yes,2020/6/30,,,9,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Pizza
both,002SY20LIC,yes,yes,2020/6/22,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50070260,no,yes,2021/2/18,,,8,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",American
both,50038434,yes,yes,2020/7/21,,,47,C,Brooklyn,02B,Hot food item not held at or above 140º F.,Spanish
openstreets,41178691,no,no,2020/7/16,,,9,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
roadway,50057481,no,yes,2020/6/30,,,9,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,American
both,50084009,yes,yes,2020/7/14,,,2,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Japanese
roadway,41289258,no,yes,2020/8/21,,,13,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mexican
openstreets,41264019,no,no,2020/7/15,,,13,A,Manhattan,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Spanish
both,50041229,yes,yes,2020/7/18,,,12,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Spanish
roadway,50052392,no,yes,2020/9/9,,,12,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,American
roadway,50063757,no,yes,2021/7/7,,,5,A,Manhattan,09B,Thawing procedures improper.,Italian
sidewalk,50112617,yes,no,2021/7/6,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50075871,no,yes,2020/7/2,,,9,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Continental
both,50106408,yes,yes,2021/5/10,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,41636015,no,yes,2021/7/7,,,12,A,Manhattan,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Soul Food
both,50045177,yes,yes,2021/4/26,,,13,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,41411821,yes,yes,2020/7/8,,,12,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Russian
both,50005586,yes,yes,2020/11/9,,,9,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Jewish/Kosher
sidewalk,50100731,yes,no,2021/1/17,,,5,A,Manhattan,06F,Wiping cloths soiled or not stored in sanitizing solution.,Chicken
both,50112649,yes,yes,2021/7/7,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50006471,yes,yes,2020/7/24,,,12,A,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Japanese
sidewalk,50099389,yes,no,2020/7/9,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50001842,yes,yes,2020/7/1,,,32,C,Manhattan,04M,Live roaches present in facility's food and/or non-food areas.,Asian/Asian Fusion
both,50110842,yes,yes,2021/7/7,,,7,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Mediterranean
both,40388784,yes,yes,2020/7/7,,,10,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,50112798,yes,yes,2021/7/7,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50112617,yes,no,2021/7/6,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50111322,yes,no,2021/7/7,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40887622,yes,yes,2020/7/28,,,9,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Bottled Beverages
sidewalk,50111771,yes,no,2021/7/7,,,13,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Bakery Products/Desserts
both,40577535,yes,yes,2021/2/2,,,9,A,Manhattan,02B,Hot food item not held at or above 140º F.,Greek
sidewalk,50111329,yes,no,2021/7/7,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50979453,yes,yes,2020/6/26,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50008635,yes,yes,2020/7/8,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50086135,yes,no,2020/7/10,,,2,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,Tex-Mex
both,41125700,yes,yes,2020/9/2,,,11,A,Queens,04M,Live roaches present in facility's food and/or non-food areas.,Peruvian
both,50014390,yes,yes,2020/7/10,,,12,A,Queens,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Tex-Mex
sidewalk,50035991,yes,no,2020/8/10,,,27,B,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Thai
sidewalk,40380253,yes,no,2020/7/2,,,12,A,Bronx,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
roadway,41356229,no,yes,2020/7/14,,,27,B,Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Korean
both,50065528,yes,yes,2020/9/14,,,12,A,Brooklyn,10H,Proper sanitization not provided for utensil ware washing operation.,American
both,41395589,yes,yes,2020/6/30,,,9,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Brazilian
sidewalk,50078656,yes,no,2020/8/13,,,10,A,Manhattan,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Jewish/Kosher
sidewalk,41376978,yes,no,2020/8/25,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50105531,yes,yes,2021/1/5,,,12,A,Queens,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Hamburgers
roadway,40730585,no,yes,2020/7/10,,,12,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,French
roadway,50001088,no,yes,2020/6/30,,,13,A,Manhattan,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Japanese
both,41393637,yes,yes,2020/7/23,,,3,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mexican
both,41351011,yes,yes,2020/6/29,,,8,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
roadway,50110738,no,yes,2021/7/7,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50051370,yes,yes,2020/7/8,,,9,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Caribbean
sidewalk,50078251,yes,no,2021/7/7,,,10,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Mexican
both,41456175,yes,yes,2020/7/5,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50098290,no,yes,2020/10/5,,,9,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Steakhouse
both,50081441,yes,yes,2020/7/3,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50087728,yes,yes,2020/7/1,,,12,A,Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,American
both,41563655,yes,yes,2020/7/3,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50101513,yes,yes,2020/8/4,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50088423,yes,no,2020/8/18,,,12,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Asian/Asian Fusion
sidewalk,50111328,yes,no,2021/7/7,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50044876,yes,no,2020/8/24,,,7,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,50088209,yes,yes,2020/7/13,,,11,A,Brooklyn,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",American
both,50038958,yes,yes,2020/7/15,,,10,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,American
both,50015968,yes,yes,2020/8/19,,,13,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
sidewalk,50111723,yes,no,2021/7/7,,,12,A,Manhattan,02B,Hot food item not held at or above 140º F.,Bakery Products/Desserts
both,50038180,yes,yes,2020/7/14,,,9,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Middle Eastern
both,50105670,yes,yes,2020/9/3,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41721550,yes,yes,2020/7/14,,,9,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,50047741,yes,yes,2020/6/29,,,12,A,Queens,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Latin American
sidewalk,50004788,yes,no,2020/6/19,,,13,A,Queens,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Bakery Products/Desserts
both,41086368,yes,yes,2020/7/1,,,11,A,Queens,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Latin American
sidewalk,50033448,yes,no,2020/6/24,,,11,A,Brooklyn,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,American
both,41563707,yes,yes,2020/6/23,,,13,A,Staten Island,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Italian
sidewalk,0,yes,no,2020/6/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50005480,yes,yes,2020/9/16,,,10,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
both,40512865,yes,yes,2020/6/19,,,12,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Pizza
both,5001977,yes,yes,2020/6/23,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50109750,yes,no,2021/5/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,40861252,no,yes,2020/7/9,,,4,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,American
roadway,41330647,no,yes,2021/3/24,,,27,B,Brooklyn,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Brazilian
both,41382808,yes,yes,2020/7/22,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,40976304,yes,yes,2020/8/29,,,9,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,American
sidewalk,50090243,yes,no,2020/11/24,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50100009,no,yes,2021/3/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50043495,yes,yes,2020/7/4,,,9,A,Brooklyn,10J,Hand wash sign not posted,Latin American
roadway,50042810,no,yes,2020/7/31,,,9,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Asian/Asian Fusion
both,50106041,yes,yes,2021/4/8,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50063568,yes,yes,2020/7/19,,,9,A,Queens,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Chinese
both,50005480,yes,yes,2020/9/16,,,10,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
both,50043852,yes,yes,2020/7/1,,,10,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",French
both,50060677,yes,yes,2020/7/6,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50112740,yes,yes,2021/7/9,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50065637,yes,yes,2020/7/14,,,22,B,Bronx,06F,Wiping cloths soiled or not stored in sanitizing solution.,Latin American
both,50074358,yes,yes,2020/7/6,,,37,C,Brooklyn,10H,Proper sanitization not provided for utensil ware washing operation.,Chinese
sidewalk,50019025,yes,no,2021/7/9,,,8,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Caribbean
both,50040806,yes,yes,2021/7/8,,,10,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,American
roadway,50068443,no,yes,2020/10/6,,,7,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mediterranean
sidewalk,50101200,yes,no,2021/6/5,,,13,A,Bronx,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Latin American
both,50040061,yes,yes,2020/6/29,,,17,B,Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,American
sidewalk,50057865,yes,no,2020/7/2,,,13,A,Queens,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
sidewalk,50111911,yes,no,2021/7/8,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50011080,yes,no,2020/6/22,,,9,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Spanish
roadway,40400610,no,yes,2020/7/2,,,19,B,Manhattan,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Mediterranean
roadway,50101357,no,yes,2020/8/23,,,13,A,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Frozen Desserts
both,41704440,yes,yes,2020/7/1,,,8,A,Queens,10D,"Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Latin American
roadway,50112624,no,yes,2021/7/12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41687397,yes,no,2020/7/21,,,13,A,Brooklyn,09B,Thawing procedures improper.,Chinese
both,41152741,yes,yes,2020/7/7,,,12,A,Manhattan,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,American
roadway,50013879,no,yes,2020/7/16,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,50092251,yes,yes,2020/7/8,,,11,A,Brooklyn,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Tex-Mex
both,50011006,yes,yes,2020/6/22,,,14,B,Manhattan,04M,Live roaches present in facility's food and/or non-food areas.,Mediterranean
sidewalk,50098816,yes,no,2021/7/12,,,9,A,Queens,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Other
sidewalk,40368526,yes,no,2020/8/27,,,13,A,Brooklyn,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Italian
both,41532568,yes,yes,2020/7/8,,,10,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
roadway,41022489,no,yes,2020/7/6,,,12,A,Queens,06F,Wiping cloths soiled or not stored in sanitizing solution.,Latin American
both,50067271,yes,yes,2020/6/30,,,13,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
sidewalk,50093518,yes,no,2020/7/29,,,9,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Thai
both,50033595,yes,yes,2020/7/22,,,13,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
sidewalk,50111048,yes,no,2021/7/13,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50015572,no,yes,2021/7/12,,,12,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Bakery Products/Desserts
sidewalk,40371906,yes,no,2020/7/7,,,10,A,Brooklyn,04A,Food Protection Certificate not held by supervisor of food operations.,American
both,50076319,yes,yes,2020/7/22,,,13,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Chinese
both,50053940,yes,yes,2020/10/23,,,5,A,Queens,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,41180080,yes,yes,2021/2/11,,,12,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Steakhouse
both,50083909,yes,yes,2020/6/30,,,10,A,Bronx,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Latin American
sidewalk,50097417,yes,no,2020/7/6,,,10,A,Queens,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Chinese
both,50098862,yes,yes,2020/7/14,,,8,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
roadway,50103658,no,yes,2020/9/5,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50005171,no,yes,2020/9/4,,,11,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
both,50101439,yes,yes,2020/7/9,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50044966,yes,no,2020/7/14,,,7,A,Bronx,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Spanish
openstreets,50088342,no,no,2020/10/9,,,10,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",French
sidewalk,50047245,yes,no,2020/11/22,,,12,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
roadway,40815524,no,yes,2020/9/3,,,13,A,Queens,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Greek
both,50102047,yes,yes,2020/8/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50109121,yes,yes,2021/7/13,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50064071,yes,yes,2020/7/16,,,13,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Indian
both,50112321,yes,yes,2021/7/12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50006574,yes,yes,2020/7/24,,,10,A,Manhattan,09C,Food contact surface not properly maintained.,French
roadway,41293936,no,yes,2021/5/14,,,10,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Asian/Asian Fusion
openstreets,50100228,no,no,2020/8/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50088385,yes,no,2020/11/29,,,13,A,Queens,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Thai
sidewalk,50095917,yes,no,2020/7/6,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50109263,yes,yes,2021/3/29,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41710581,yes,yes,2020/8/23,,,10,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Pizza
sidewalk,41479962,yes,no,2020/7/9,,,11,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",American
both,50111814,yes,yes,2021/7/12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50098663,yes,yes,2021/7/12,,,16,B,Brooklyn,06G,HACCP plan not approved or approved HACCP plan not maintained on premises.,Latin American
roadway,41655200,no,yes,2020/7/12,,,0,A,Brooklyn,0,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Japanese
sidewalk,50040937,yes,no,2020/7/16,,,13,A,Bronx,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Steakhouse
both,50106123,yes,yes,2020/12/11,,,9,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Other
both,50097071,yes,yes,2021/7/15,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50006420,yes,yes,2020/6/30,,,7,A,Brooklyn,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Tex-Mex
both,50093908,yes,yes,2020/7/4,,,13,A,Manhattan,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Coffee/Tea
sidewalk,41571354,yes,no,2020/7/11,,,10,A,Queens,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Irish
sidewalk,50112768,yes,no,2021/7/12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50111805,yes,yes,2021/7/12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41638031,yes,no,2021/2/23,,,11,A,Bronx,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Spanish
both,50104558,yes,yes,2021/7/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50016323,yes,yes,2021/5/19,,,28,C,Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Latin American
sidewalk,50060115,yes,no,2020/7/1,,,9,A,Staten Island,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Mexican
openstreets,50068545,no,no,2020/7/9,,,12,A,Bronx,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Spanish
sidewalk,50074195,yes,no,2020/6/24,,,45,C,Bronx,04M,Live roaches present in facility's food and/or non-food areas.,Mexican
both,41469473,yes,yes,2020/6/29,,,28,C,Manhattan,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Jewish/Kosher
sidewalk,50069064,yes,no,2020/6/20,,,14,B,Brooklyn,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",American
sidewalk,41489737,yes,no,2020/6/24,,,21,B,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Italian
sidewalk,50062830,yes,no,2020/8/21,,,10,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
both,50111191,yes,yes,2021/7/12,,,43,C,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Australian
both,41633091,yes,yes,2020/6/23,,,11,A,Bronx,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Latin American
both,50010941,yes,yes,2020/6/22,,,15,B,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
sidewalk,50106898,yes,no,2021/7/12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
